date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:51	5090/5090	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202018%2003:03:02%20GMT	https://www.waldorf-group.com/index.php	waldorf/waldorf/www.waldorf-group.com/index.html	(from )
11:02:53	169/169	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jan%202018%2003:03:03%20GMT	https://www.waldorf-group.com/robots.txt		(from )
11:02:54	120001/120001	---MCZ	200	added ('OK')	text/css	etag:W/%2259f00ea6-1d4c1%22	https://www.waldorf-group.com/public/css/kule-lazy.min.css	waldorf/waldorf/www.waldorf-group.com/public/css/kule-lazy.min.css	(from https://www.waldorf-group.com/index.php)
11:02:55	37406/37406	---MCZ	200	added ('OK')	text/css	etag:W/%2259f00ea6-921e%22	https://www.waldorf-group.com/public/css/kule-theme-default.min.css	waldorf/waldorf/www.waldorf-group.com/public/css/kule-theme-default.min.css	(from https://www.waldorf-group.com/index.php)
11:02:56	29062/29062	---MCZ	200	added ('OK')	text/css	etag:W/%2259f00ea6-7186%22	https://www.waldorf-group.com/public/css/font-awesome.min.css	waldorf/waldorf/www.waldorf-group.com/public/css/font-awesome.min.css	(from https://www.waldorf-group.com/index.php)
11:02:56	7890/7890	---MCZ	200	added ('OK')	text/css	etag:W/%2259f00ea6-1ed2%22	https://www.waldorf-group.com/public/css/waldorf.css	waldorf/waldorf/www.waldorf-group.com/public/css/waldorf.css	(from https://www.waldorf-group.com/index.php)
11:02:57	5106/5106	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202018%2003:03:09%20GMT	https://www.waldorf-group.com/investor.php	waldorf/waldorf/www.waldorf-group.com/investor.html	(from https://www.waldorf-group.com/index.php)
11:02:58	6828/6828	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202018%2003:03:09%20GMT	https://www.waldorf-group.com/about.php	waldorf/waldorf/www.waldorf-group.com/about.html	(from https://www.waldorf-group.com/index.php)
11:03:00	39296/39296	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2259f00ea6-9980%22	https://www.waldorf-group.com/public/img/main_navi_about_us.jpg	waldorf/waldorf/www.waldorf-group.com/public/img/main_navi_about_us.jpg	(from https://www.waldorf-group.com/index.php)
11:03:00	7935/7935	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202018%2003:03:11%20GMT	https://www.waldorf-group.com/companies.php	waldorf/waldorf/www.waldorf-group.com/companies.html	(from https://www.waldorf-group.com/index.php)
